time_AKDT	DHT11_T	DHT11_T	P36_T	SHT31_T	SHT31_H
20181209_052331	22	14	23.49	21.68	20.00
20181209_052341	22	14	23.09	21.66	19.87
20181209_052351	22	15	23.25	21.69	21.34
20181209_052402	22	15	22.77	21.70	20.36
20181209_052412	22	15	23.66	21.69	21.62
20181209_052422	22	15	23.17	21.69	20.44
20181209_052432	22	15	22.69	21.66	20.29
20181209_052443	22	15	22.61	21.68	21.21
20181209_052453	22	15	22.93	21.68	21.59
20181209_052503	22	15	22.61	21.69	20.98
20181209_052514	22	15	23.82	21.69	21.59
20181209_052524	22	15	23.41	21.69	21.24
20181209_052534	22	15	22.77	21.66	21.21
20181209_052545	22	15	23.41	21.69	21.39
20181209_052555	22	15	23.82	21.68	21.44
20181209_052605	22	15	22.93	21.68	21.36
20181209_052616	22	15	23.74	21.65	20.68
20181209_052626	22	15	22.69	21.68	20.65
20181209_052636	22	15	23.58	21.66	20.65
20181209_052647	22	15	23.74	21.66	21.21
20181209_052657	22	15	22.77	21.66	20.88
20181209_052707	22	15	23.49	21.66	21.23
20181209_052718	22	16	23.25	21.69	20.77
20181209_052728	22	16	23.49	21.66	20.57
20181209_052738	22	16	23.17	21.66	21.24
20181209_052749	22	16	23.41	21.66	21.09
20181209_052809	22	16	23.33	21.65	21.14
20181209_052820	22	16	23.41	21.66	21.71
20181209_052830	22	16	23.33	21.65	21.17
20181209_052840	22	16	23.66	21.65	20.95
20181209_052851	22	16	23.17	21.65	20.67
20181209_052901	22	16	23.90	21.63	20.91
20181209_052911	22	16	23.25	21.63	20.81
20181209_052922	22	16	23.17	21.66	21.52
20181209_052932	22	16	23.01	21.65	20.98
20181209_052942	22	16	22.61	21.65	20.52
20181209_052952	22	16	23.41	21.65	20.80
20181209_053003	22	16	23.17	21.63	21.34
20181209_053013	22	16	23.41	21.65	21.24
20181209_053023	22	16	23.25	21.63	20.73
20181209_053034	22	16	23.58	21.66	20.73
20181209_053044	22	16	23.82	21.63	21.38
20181209_053054	22	16	23.17	21.63	20.42
20181209_053105	22	15	24.62	21.63	21.09
20181209_053115	22	16	22.77	21.66	21.34
20181209_053125	22	16	23.33	21.66	20.95
20181209_053136	22	16	23.25	21.65	21.09
20181209_053146	22	16	22.53	21.63	20.55
20181209_053156	22	16	23.58	21.65	21.03
20181209_053207	22	16	23.82	21.66	21.01
20181209_053217	22	16	23.33	21.62	20.55
20181209_053227	22	16	22.61	21.63	20.72
20181209_053238	22	16	22.85	21.65	20.88
20181209_053248	21	15	23.41	21.63	20.51
20181209_053258	22	16	22.77	21.63	20.45
20181209_053309	22	16	23.25	21.63	21.34
20181209_053319	22	16	23.17	21.63	21.11
20181209_053329	22	16	23.49	21.63	21.96
20181209_053340	22	16	23.58	21.66	20.95
20181209_053350	22	16	23.41	21.65	21.09
20181209_053400	22	16	22.61	21.65	21.60
20181209_053411	22	16	23.58	21.62	20.94
20181209_053421	22	16	22.69	21.63	21.09
20181209_053431	22	16	23.41	21.63	20.49
20181209_053441	22	16	23.82	21.62	20.94
20181209_053452	22	16	23.25	21.65	20.83
20181209_053502	22	16	22.61	21.62	20.59
20181209_053512	22	16	23.25	21.63	20.70
20181209_053523	22	16	23.41	21.63	21.09
20181209_053533	22	16	23.17	21.63	21.66
20181209_053554	22	16	22.53	21.63	20.57
20181209_053604	21	15	23.33	21.63	20.96
20181209_053614	22	16	23.49	21.63	21.11
20181209_053625	22	16	23.58	21.63	21.03
20181209_053635	22	16	23.49	21.63	20.76
20181209_053645	22	16	23.58	21.63	21.27
20181209_053656	22	16	23.25	21.63	21.84
20181209_053706	22	16	23.25	21.63	21.06
20181209_053716	22	16	23.58	21.63	20.85
20181209_053727	22	16	23.09	21.65	21.21
20181209_053737	22	16	23.49	21.63	21.01
20181209_053747	22	16	23.25	21.61	20.57
20181209_053758	22	16	23.41	21.63	20.26
